Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
CPSF6,SNRNP70,Q6NVF9,P08621,No 3D Structure,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
HNRNPC,ZNF326,P07910,Q5BKZ1,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
OPTN,TRADD,Q8K3K8,Q3U0V2,5WQ4,No 3D Structure
SNRNP70,KHDRBS1,P08621,Q07666,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08","2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
MFN2,NBR1,O95140,Q9SB64,"6JFK, 6JFL, 6JFM","6TGN, 6TGP, 6TGS"
RBM14,HNRNPH3,Q8C2Q3,P31942,No 3D Structure,No 3D Structure
MAP1LC3B,ATG101,Q9GZQ8,Q9BSB4,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6","4WZG, 5C50, 5XUY, 5XV1, 5XV3, 5XV4, 5XV6, 8DO8"
HNRNPA1,PURA,P09651,Q00577,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL","8CHT, 8CHU, 8CHV, 8CHW"
ABL1,YWHAE,P00520,P62258,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6","2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
MATR3,RALY,P43243,Q64012,No 3D Structure,No 3D Structure
MDM4,YWHAH,O15151,Q04917,"2CR8, 2MWY, 2N06, 2N0U, 2N0W, 2N14, 2VJE, 2VJF, 2VYR, 3DAB, 3EQY, 3FDO, 3FE7, 3FEA, 3JZO, 3JZP, 3JZQ, 3LBJ, 3MQR, 3U15, 4RXZ, 5MNJ, 5UML, 5VK1, 6Q9Q, 6Q9S, 6Q9U, 6Q9W, 6Q9Y, 6YR5, 6YR7, 7C3Q, 7C3Y, 7C44, 7EL4, 7KJN, 7MLA, 8HDG, 8IA5","2C63, 2C74, 7NMZ"
SSB,U2AF1,P0AGE0,Q01081,"1EQQ, 1EYG, 1KAW, 1QVC, 1SRU, 3C94, 3Q8D, 3SXU, 3UF7, 4MZ9, 4Z0U, 8TG7, 8TG8, 8TGC",1JMT
HNRNPR,PABPC1,O43390,P11940,2DK2,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO"
PINK1,RB1CC1,B5DFG1,Q8TDY2,No 3D Structure,"6DCE, 6GMA, 7CZG, 7CZM, 7D0E, 7EA2, 7EAA, 8SOI, 8SQZ, 8SRM, 8W6B, 8YFK, 8YFL, 8YFM, 8YFN, 9C82, 9D34"
ILF3,SNRNP70,Q9Z1X4,P08621,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7","2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
PABPC1,TIAL1,P11940,Q01085,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","1X4G, 2CQI, 2DH7"
HTT,PSMD2,P42858,Q13200,"2LD0, 2LD2, 3IO4, 3IO6, 3IOR, 3IOT, 3IOU, 3IOV, 3IOW, 3LRH, 4FE8, 4FEB, 4FEC, 4FED, 4RAV, 6EZ8, 6N8C, 6RMH, 6X9O, 6YEJ, 7DXJ, 7DXK, 8R2O, 8SAH, 8VLX, 8W15","5GJQ, 5GJR, 5L4K, 5LN3, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7UIH, 7UJD, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8L, 9E8N, 9E8O, 9E8Q"
SNCA,HSPA9,Q3T0G8,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
TAF15,SNRPD3,Q9AST1,P62318,No 3D Structure,"1D3B, 3CW1, 3JCR, 3PGW, 3VRI, 4PJO, 4WZJ, 5MQF, 5O9Z, 5XJC, 5YZG, 5Z56, 5Z57, 5Z58, 6AH0, 6AHD, 6FF7, 6ICZ, 6ID0, 6ID1, 6QDV, 6QW6, 6QX9, 6V4X, 6Y53, 6Y5Q, 7A5P, 7ABG, 7ABI, 7B0Y, 7DVQ, 7EVO, 7QTT, 7VPX, 7W59, 7W5A, 7W5B, 8C6J, 8CH6, 8H6E, 8H6J, 8H6K, 8H6L, 8HK1, 8I0P, 8I0R, 8I0S, 8I0T, 8I0U, 8I0V, 8I0W, 8Q7Q, 8Q7V, 8Q7W, 8Q7X, 8Q91, 8QO9, 8QXD, 8QZS, 8R08, 8R09, 8R0A, 8R0B, 8R7N, 8RC0, 8RM5, 8RO2, 8Y6O, 8Y7E, 9FMD, 9GBW, 9GC0, 9GCL"
SFPQ,SYNCRIP,Q8VIJ6,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
CD274,ARG1,Q9NZQ7,P05089,"3BIK, 3BIS, 3FN3, 3SBW, 4Z18, 4ZQK, 5C3T, 5GGT, 5GRJ, 5IUS, 5J89, 5J8O, 5JDR, 5JDS, 5N2D, 5N2F, 5NIU, 5O45, 5O4Y, 5X8L, 5X8M, 5XJ4, 5XXY, 6L8R, 6NM7, 6NM8, 6NNV, 6NOJ, 6NOS, 6NP9, 6PV9, 6R3K, 6RPG, 6VQN, 6YCR, 7BEA, 7C88, 7CZD, 7DCV, 7DY7, 7NLD, 7OUN, 7SJQ, 7TPS, 7UX5, 7UXO, 7UXP, 7UXQ, 7VUN, 7XAD, 7XAE, 7XYQ, 7YDS, 8ALX, 8AOK, 8AOM, 8JBA, 8K5N, 8OR1, 8P1O, 8P64, 8R6Q, 8RPB, 8XR5, 9EO0, 9ERY","1WVA, 1WVB, 2AEB, 2PHA, 2PHO, 2PLL, 2ZAV, 3DJ8, 3E6K, 3E6V, 3F80, 3GMZ, 3GN0, 3KV2, 3LP4, 3LP7, 3MFV, 3MFW, 3MJL, 3SJT, 3SKK, 3TF3, 3TH7, 3THE, 3THH, 3THJ, 4FCI, 4FCK, 4GSM, 4GSV, 4GSZ, 4GWC, 4GWD, 4HWW, 4HXQ, 4IE1, 6Q92, 6Q9P, 6QAF, 6V7C, 6V7D, 6V7E, 6V7F, 7K4G, 7K4H, 7K4I, 7K4J, 7K4K, 7KLK, 7KLL, 7KLM, 7LEX, 7LEY, 7LEZ, 7LF0, 7LF1, 7LF2, 8AUP, 8E5M, 8E5N"
YAP1,TP53,A0A8C0NGY6,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
RBM14,SYNCRIP,Q8C2Q3,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
RBM14,HNRNPU,Q8C2Q3,Q8VEK3,No 3D Structure,No 3D Structure
SOD1,PSMC2,P15107,P35998,1XSO,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q"
IRAK1,STAT1,P51617,Q764M5,6BFN,No 3D Structure
TOMM40,HSP90AA1,O96008,A5A6K9,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA",No 3D Structure
OSBPL11,VAPA,Q9BXB4,Q9P0L0,2D9X,"2RR3, 6TQR"
ABL1,BCL2L1,P00520,Q07817,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6","1BXL, 1G5J, 1LXL, 1MAZ, 1R2D, 1R2E, 1R2G, 1R2H, 1R2I, 1YSG, 1YSI, 1YSN, 2B48, 2LP8, 2LPC, 2M03, 2M04, 2ME8, 2ME9, 2MEJ, 2O1Y, 2O2M, 2O2N, 2P1L, 2PON, 2YJ1, 2YQ6, 2YQ7, 2YXJ, 3CVA, 3FDL, 3FDM, 3INQ, 3IO8, 3PL7, 3QKD, 3R85, 3SP7, 3SPF, 3WIZ, 3ZK6, 3ZLN, 3ZLO, 3ZLR, 4A1U, 4A1W, 4AQ3, 4BPK, 4C52, 4C5D, 4CIN, 4EHR, 4HNJ, 4IEH, 4PPI, 4QVE, 4QVF, 4QVX, 4TUH, 4Z9V, 5AGW, 5AGX, 5B1Z, 5C3G, 5FMJ, 5FMK, 5VAY, 5VX3, 6BF2, 6DCN, 6DCO, 6F46, 6GL8, 6HJL, 6IJQ, 6LHD, 6O0K, 6O0L, 6O0M, 6O0O, 6O0P, 6QG8, 6QGG, 6QGH, 6QGJ, 6QGK, 6RNU, 6ST2, 6UVC, 6UVD, 6UVE, 6UVF, 6UVG, 6UVH, 6VWC, 6X7I, 6YLI, 6ZHC, 7CA4, 7JGV, 7JGW, 7LH7, 7XGF, 7XGG, 7Y8D, 7YAA, 7YB7, 8FY0, 8IQK, 8IQL, 8U27, 8VWX, 8VWZ, 8VXM, 8VXN, 8WLS, 8XP5, 8ZEB, 9AQZ"
ABL1,HSPA4,P00520,O88600,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6",No 3D Structure
SYNCRIP,U2AF1,O60506,Q01081,"2DGU, 2MXT, 2NBB, 6KOR",1JMT
BIRC2,OPTN,Q62210,Q8K3K8,No 3D Structure,5WQ4
ENO1,ACO2,Q9C9C4,Q94A28,No 3D Structure,No 3D Structure
ALDH2,FH,P05091,P07954,"1CW3, 1NZW, 1NZX, 1NZZ, 1O00, 1O01, 1O02, 1O04, 1O05, 1ZUM, 2ONM, 2ONN, 2ONO, 2ONP, 2VLE, 3INJ, 3INL, 3N80, 3N81, 3N82, 3N83, 3SZ9, 4FQF, 4FR8, 4KWF, 4KWG, 5L13, 8DR9, 8SHS","3E04, 5D6B, 5UPP, 6EBT, 6V8F, 6VBE, 7LUB"
CS,NDUFV1,A0A2P1GIW2,Q91YT0,6RT8,"6G2J, 6G72, 6ZR2, 6ZTQ, 7AK5, 7AK6, 7B93, 7PSA, 8C2S, 8CA3, 8CA4, 8CA5, 8IAO, 8IAP, 8IB4, 8IB5, 8IB9, 8IBA, 8IBD, 8IBE, 8IC2, 8IC3, 8OLT, 8OM1, 8PW5, 8PW6, 8PW7, 8RGP, 8RGQ, 8RGR, 8RGT, 8UCA, 8XNL, 8XNM, 8XNN, 8XNO, 8XNP, 8XNQ, 8XNR, 8XNS, 8XNT, 8XNU, 8XNV, 8XNW, 8XNX, 8XNY, 8XNZ, 8XO0"
HSCB,NUBPL,Q8IWL3,Q9V9M8,3BVO,No 3D Structure
YWHAB,TBC1D4,P31946,O60343,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH","3QYB, 7NIX"
ILF3,HNRNPA3,Q9Z1X4,P51991,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7",No 3D Structure
PCBP1,U2AF2,P60335,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
PSMD12,UBQLN2,O00232,Q9UHD9,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q","1J8C, 2NBV, 6MUN, 7F7X"
MAP1LC3B,SNCA,Q9GZQ8,Q3T0G8,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
PINK1,HSPA9,B5DFG1,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
NFKBIA,SOCS3,Q9Z1E3,O14543,No 3D Structure,No 3D Structure
VCP,YWHAE,P42660,P62258,No 3D Structure,"2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
NFKBIA,BIRC2,Q9Z1E3,Q62210,No 3D Structure,No 3D Structure
DNM1L,PARK7,Q7SXN5,Q5XJ36,No 3D Structure,No 3D Structure
HNRNPU,ALYREF,Q8VEK3,Q86V81,No 3D Structure,"3ULH, 7ZNJ, 7ZNK"
HNRNPU,RALY,Q8VEK3,Q64012,No 3D Structure,No 3D Structure
IDH1,TALDO1,B7G620,Q93092,6LKZ,"2CWN, 2E1D"
UQCRFS1,HSPA9,P47985,P38646,"5XTE, 5XTH, 5XTI","3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
NDUFB8,TOMM40,O95169,O96008,"5XTC, 5XTD, 5XTH, 5XTI","7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA"
EIF4G1,ATXN2,Q04637,O70305,"1LJ2, 1UG3, 2W97, 4AZA, 4F02, 5EHC, 5EI3, 5EIR, 5T46, 5ZK5, 6ZMW, 8HUJ, 8J7R, 8OZ0",No 3D Structure
MUL1,DNM1L,Q9VZJ9,Q7SXN5,No 3D Structure,No 3D Structure
EWSR1,SRSF3,Q61545,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
HTRA2,OPA1,Q9VFJ3,O60313,No 3D Structure,"6JTG, 8CT1, 8CT9, 8EEW, 8EF7, 8EFF, 8EFR, 8EFS, 8EFT"
CPSF6,HNRNPL,Q6NVF9,Q8R081,No 3D Structure,"3S01, 3TYT"
ELAVL1,EWSR1,Q15717,Q61545,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
DDX5,TARDBP,Q5R4I9,Q13148,No 3D Structure,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
PMPCB,HSPA9,O75439,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
NDUFS3,PDHA1,O75489,P08559,"5XTB, 5XTD, 5XTH, 5XTI","1NI4, 2OZL, 3EXE, 3EXF, 3EXG, 3EXH, 3EXI, 6CER, 6CFO"
OPTN,RNF31,Q8K3K8,Q96EP0,5WQ4,"2CT7, 4DBG, 4JUY, 4LJO, 4LJP, 4LJQ, 4OWF, 4OYJ, 4OYK, 4P09, 4P0A, 4P0B, 5EDV, 5LJN, 5X0W, 6GZY, 6KC5, 6KC6, 6SC5, 6SC6, 6SC7, 6SC8, 6SC9, 7TV4, 7UY2, 7UYJ, 7UYK, 7V8F, 7V8G, 8Z30, 8Z36, 9AZJ, 9B0B, 9B0Z, 9B12"
PTBP1,CPSF6,P26599,Q6NVF9,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF",No 3D Structure
PABPC1,HNRNPH1,P11940,P31943,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","2LXU, 6DHS, 7ZUG"
CELF1,PCBP1,Q4QQT3,P60335,No 3D Structure,No 3D Structure
AGRN,APOE,O00468,P0DKW7,8S9P,No 3D Structure
LRRK2,MAP1B,Q5S007,P46821,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO",No 3D Structure
ATXN1,U2AF2,P54253,P26368,"1OA8, 2M41, 4APT, 4AQP, 4J2J, 4J2L, 6QIU","1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
RB1CC1,VAPA,Q8TDY2,Q9P0L0,"6DCE, 6GMA, 7CZG, 7CZM, 7D0E, 7EA2, 7EAA, 8SOI, 8SQZ, 8SRM, 8W6B, 8YFK, 8YFL, 8YFM, 8YFN, 9C82, 9D34","2RR3, 6TQR"
FAF1,VAPB,P54731,O95292,No 3D Structure,"2MDK, 3IKK"
ATXN1,HSPA4,P54253,O88600,"1OA8, 2M41, 4APT, 4AQP, 4J2J, 4J2L, 6QIU",No 3D Structure
HSPD1,PMPCB,P10809,O75439,"4PJ1, 6HT7, 6MRC, 6MRD, 7AZP, 7L7S, 8G7J, 8G7K, 8G7L, 8G7M, 8G7N, 8G7O, 8U39",No 3D Structure
VAPB,WDR44,O95292,Q5JSH3,"2MDK, 3IKK",No 3D Structure
VAPA,WDR44,Q9P0L0,Q5JSH3,"2RR3, 6TQR",No 3D Structure
TNFRSF1A,UBC,Q15628,P0CG48,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","1C3T, 1CMX, 1D3Z, 1F9J, 1FXT, 1G6J, 1GJZ, 1NBF, 1OGW, 1Q5W, 1S1Q, 1SIF, 1TBE, 1UBI, 1UBQ, 1UD7, 1XD3, 1XQQ, 1YX5, 1YX6, 1ZGU, 2AYO, 2BGF, 2DEN, 2FUH, 2G45, 2GBJ, 2GBK, 2GBM, 2GBN, 2GBR, 2GMI, 2HTH, 2IBI, 2J7Q, 2JF5, 2JRI, 2JY6, 2JZZ, 2K25, 2K6D, 2K8B, 2K8C, 2KDF, 2KJH, 2KLG, 2KN5, 2KX0, 2L3Z, 2LD9, 2LVO, 2LVP, 2LVQ, 2LZ6, 2MBO, 2MBQ, 2MCN, 2MI8, 2MJ5, 2MOR, 2MRE, 2MWS, 2N2K, 2NR2, 2O6V, 2OJR, 2PE9, 2PEA, 2RR9, 2RU6, 2W9N, 2WDT, 2XEW, 2Z59, 2ZCB, 2ZVN, 2ZVO, 3A33, 3ALB, 3AUL, 3B08, 3B0A, 3BY4, 3C0R, 3DVG, 3DVN, 3EEC, 3EFU, 3EHV, 3H7P, 3H7S, 3HM3, 3IFW, 3IHP, 3JSV, 3JVZ, 3JW0, 3K9O, 3K9P, 3KVF, 3KW5, 3LDZ, 3MHS, 3MTN, 3N30, 3N32, 3N3K, 3NS8, 3O65, 3OFI, 3OJ4, 3ONS, 3PT2, 3PTF, 3Q3F, 3RUL, 3TMP, 3U30, 3UGB, 3V6C, 3V6E, 3VFK, 3VUW, 3VUX, 3VUY, 3WXE, 3WXF, 3ZNI, 3ZNZ, 4AP4, 4AUQ, 4BOS, 4BOZ, 4BVU, 4DDG, 4DDI, 4DHJ, 4DHZ, 4FJV, 4HK2, 4HXD, 4I6L, 4I6N, 4IG7, 4IUM, 4JQW, 4K1R, 4K7S, 4K7U, 4K7W, 4KSK, 4KSL, 4LCD, 4LDT, 4MDK, 4MM3, 4MSM, 4MSQ, 4NQK, 4UN2, 4V3K, 4V3L, 4XOK, 4XOL, 4ZQS, 5AF4, 5AF5, 5AF6, 5AIU, 5B83, 5C7J, 5C7M, 5E6J, 5H07, 5NL4, 5NLF, 5NLI, 5NMC, 5OE7, 5OHV, 5OXH, 5OXI, 5UDH, 5WQ4, 5ZQ3, 5ZQ4, 5ZQ5, 5ZQ6, 5ZQ7, 6A43, 6A44, 6AQR, 6B7M, 6B7O, 6EQI, 6K2U, 6KBE, 6N13, 6N6R, 6NQA, 6NXK, 6OI4, 6P5B, 6Q00, 6QML, 6RYA, 6S53, 6SQR, 6T7F, 6T9L, 6TNF, 6TTU, 6TUV, 6TXB, 6ULH, 6UMP, 6UMS, 6UPU, 6V5D, 6VAE, 6VAF, 6VEN, 6W9D, 6W9R, 6W9S, 6WJD, 6WKR, 6WTG, 6YPT, 6Z7V, 7B5L, 7B5M, 7B5N, 7BBD, 7BBF, 7BXG, 7EAL, 7EAO, 7EB9, 7JXV, 7K6P, 7K6Q, 7KEO, 7M4M, 7M4N, 7M4O, 7MEX, 7MIC, 7MYF, 7NPI, 7OWD, 7R70, 7R71, 7TV4, 7UV5, 7UYH, 7YUI, 7ZJ3, 8A9J, 8A9K, 8ADB, 8AMS, 8B3G, 8B3I, 8E7O, 8EAZ, 8EB0, 8FTQ, 8JRT, 8JTI, 8K6E, 8K6F, 8K6I, 8K6R, 8K6V, 8OFF, 8PJN, 8PMQ, 8PQL, 8Q7R, 8R5H, 8RX0, 8SSI, 8ST7, 8ST8, 8ST9, 8SVF, 8T48, 8U5H, 9D1I, 9D1Y, 9D1Z, 9D8P, 9DBY, 9DDE, 9DG3, 9EBS, 9EGV, 9EGW, 9FCI, 9FCJ, 9FJ3, 9FJ4"
ELAVL1,HNRNPR,Q15717,O43390,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",2DK2
